Bin information for iteration 66
1064 segments
277 bins total, 0 targets, 133 (48.014%) occupied
Minimum probability by bin:     4.32982621986613508e-35
Maximum probability by bin:     8.29394576099521386e-01
Dynamic range (by bin):         78.9379 kT
Minimum probability by segment: 5.41228277483266818e-36
Maximum probability by segment: 1.14571839145972576e-01
Dynamic range (by segment):     79.0378 kT
Norm = 1, error in norm = -1.11022e-16 (0 epsilon)

 Index     Count    Total weight               Min seg weight             Max seg weight             Weight ratio    Label
     0         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(0.0, 1.0), (0.0, 2.0)]
     1         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(0.0, 1.0), (2.0, 4.0)]
     2         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(0.0, 1.0), (4.0, 6.0)]
     3         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(0.0, 1.0), (6.0, 8.0)]
     4         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(0.0, 1.0), (8.0, 10)]
     5         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(1.0, 1.5), (0.0, 2.0)]
     6         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(1.0, 1.5), (2.0, 4.0)]
     7         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(1.0, 1.5), (4.0, 6.0)]
     8         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(1.0, 1.5), (6.0, 8.0)]
     9         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(1.0, 1.5), (8.0, 10)]
    10         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(1.5, 2.0), (0.0, 2.0)]
    11         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(1.5, 2.0), (2.0, 4.0)]
    12         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(1.5, 2.0), (4.0, 6.0)]
    13         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(1.5, 2.0), (6.0, 8.0)]
    14         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(1.5, 2.0), (8.0, 10)]
    15         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.0, 2.1), (0.0, 2.0)]
    16         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.0, 2.1), (2.0, 4.0)]
    17         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.0, 2.1), (4.0, 6.0)]
    18         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.0, 2.1), (6.0, 8.0)]
    19         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.0, 2.1), (8.0, 10)]
    20         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.1, 2.2), (0.0, 2.0)]
    21         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.1, 2.2), (2.0, 4.0)]
    22         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.1, 2.2), (4.0, 6.0)]
    23         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.1, 2.2), (6.0, 8.0)]
    24         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.1, 2.2), (8.0, 10)]
    25         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.2, 2.3), (0.0, 2.0)]
    26         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.2, 2.3), (2.0, 4.0)]
    27         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.2, 2.3), (4.0, 6.0)]
    28         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.2, 2.3), (6.0, 8.0)]
    29         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.2, 2.3), (8.0, 10)]
    30         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.3, 2.4), (0.0, 2.0)]
    31         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.3, 2.4), (2.0, 4.0)]
    32         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.3, 2.4), (4.0, 6.0)]
    33         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.3, 2.4), (6.0, 8.0)]
    34         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.3, 2.4), (8.0, 10)]
    35         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.4, 2.5), (0.0, 2.0)]
    36         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.4, 2.5), (2.0, 4.0)]
    37         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.4, 2.5), (4.0, 6.0)]
    38         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.4, 2.5), (6.0, 8.0)]
    39         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.4, 2.5), (8.0, 10)]
    40         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.5, 2.6), (0.0, 2.0)]
    41         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.5, 2.6), (2.0, 4.0)]
    42         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.5, 2.6), (4.0, 6.0)]
    43         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.5, 2.6), (6.0, 8.0)]
    44         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.5, 2.6), (8.0, 10)]
    45         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.6, 2.7), (0.0, 2.0)]
    46         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.6, 2.7), (2.0, 4.0)]
    47         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.6, 2.7), (4.0, 6.0)]
    48         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.6, 2.7), (6.0, 8.0)]
    49         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.6, 2.7), (8.0, 10)]
    50         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.7, 2.8), (0.0, 2.0)]
    51         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.7, 2.8), (2.0, 4.0)]
    52         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.7, 2.8), (4.0, 6.0)]
    53         0    0.00000000000000000e+00    0.00000000000000000e+00    0.00000000000000000e+00         0.00000    [(2.7, 2.8), (6.0, 8.0)]
