idx	iter	seg	rmsd	mindist
0	18	106	2.0411	5.1531
1	26	228	1.7662	8.5859
2	31	223	1.8761	6.9370
3	33	312	2.4735	11.0488
4	33	341	2.2837	10.4453
5	35	160	2.0582	6.0335
6	37	246	2.0733	6.7782
7	38	164	1.7153	6.4818
8	40	170	1.8113	5.8603
9	41	230	1.9636	7.4819
10	43	218	1.8115	6.2399
11	44	336	2.1912	10.5139
12	45	371	2.6401	11.2333
13	47	222	1.7719	7.8135
14	49	171	1.7547	5.3807
15	51	387	2.8806	14.5349
16	53	428	3.2821	15.5037
17	54	253	2.0318	7.2122
18	57	193	1.9971	8.0452
19	64	157	1.5783	5.6272
20	65	439	2.9462	15.7143
21	71	150	3.5082	14.0208
22	73	186	3.7160	16.0745
23	76	162	3.2508	14.0276
24	79	218	3.7659	18.7025
25	80	344	5.0801	17.8017
26	82	356	5.2119	15.9426
27	85	53	1.9165	7.3775
28	85	317	5.0067	12.8799
29	88	126	2.6111	13.4039
30	93	212	4.0913	19.0597
31	95	201	3.5560	17.6121
32	105	87	2.9412	15.1634
33	114	89	3.2026	14.3881
34	116	26	2.2425	9.8213
35	118	27	2.4930	10.2594
36	119	52	2.4667	12.4984
37	126	70	4.1806	15.8301
38	128	24	2.8970	12.8154
39	130	73	3.7390	17.6267
40	131	8	2.4949	11.2629
41	148	26	4.3616	19.7804
42	162	20	3.7762	15.9388
43	175	9	2.8646	11.9836
44	185	190	9.3093	19.2919
45	197	379	9.5900	19.9536
46	201	1528	12.2232	19.7011
47	204	963	12.6375	18.6746
48	207	516	11.3297	18.4224
49	224	27	4.4364	19.5968
